Order,PID,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
27,527404120,20,4,70,8400,1,3,3,0,0,0,15,2,2,0,2,4,5,1970,1970,1,1,8,10,3,0,3,4,1,4,4,3,0,804,4,78,0,882,0,4,1,4,882,0,0,882,1,0,1,0,2,1,4,4,7,0,1,1970,0,2,525,4,4,2,240,0,0,0,0,0,0,4,2010,9,4,126000
29,527427230,120,3,26,5858,1,0,3,0,2,0,15,2,2,4,2,7,5,1999,1999,1,1,7,8,3,0,2,4,2,2,4,3,2,1051,1,0,354,1405,0,0,1,4,1337,0,0,1337,1,0,2,0,2,1,2,5,7,1,1,1999,0,2,511,4,4,2,203,68,0,0,0,0,0,6,2010,9,4,184000
30,527451180,160,5,21,1680,1,3,3,0,4,0,2,2,2,3,5,6,5,1971,1971,1,1,5,6,1,504,3,4,1,4,4,3,4,156,5,0,327,483,0,4,1,4,483,504,0,987,0,0,1,1,2,1,4,5,7,0,5,1971,2,1,264,4,4,2,275,0,0,0,0,0,0,2,2010,0,4,96000
31,527451330,160,5,21,1680,1,3,3,0,4,0,2,2,2,3,5,5,5,1971,1971,1,1,5,6,1,492,3,4,1,4,4,3,4,300,5,0,225,525,0,4,1,4,525,567,0,1092,0,0,1,1,3,1,4,6,7,0,5,1997,2,1,320,4,4,2,0,0,0,0,0,0,0,3,2010,9,4,105500
32,527451410,160,5,21,1680,1,3,3,0,4,0,2,2,2,3,5,6,5,1971,1971,1,1,5,7,1,381,3,4,1,4,4,3,5,0,5,0,525,525,0,4,1,4,525,567,0,1092,0,0,1,1,3,1,4,6,7,0,5,1971,2,1,264,4,4,2,0,0,0,0,0,0,0,3,2010,9,3,88000
33,527452190,120,4,53,4043,1,3,3,0,4,0,16,2,2,4,2,6,5,1977,1977,1,1,8,10,3,0,3,4,1,2,4,3,0,360,5,0,709,1069,0,4,1,4,1069,0,0,1069,0,0,2,0,2,1,4,4,7,1,1,1977,1,2,440,4,4,2,0,55,0,0,165,0,0,7,2010,9,4,127500
34,527453130,160,4,24,2280,1,3,3,0,2,0,16,2,2,3,5,6,6,1975,1975,1,1,8,2,3,0,3,4,1,4,4,3,0,514,5,0,341,855,0,4,1,4,855,601,0,1456,0,0,2,1,3,1,2,6,7,1,1,1975,2,2,440,4,4,2,173,0,0,0,0,0,0,6,2010,9,4,149900
35,527453150,120,4,24,2280,1,3,3,0,2,0,16,2,2,3,2,7,6,1975,1975,1,1,8,2,3,0,3,4,1,2,4,3,5,0,5,0,836,836,0,0,1,4,836,0,0,836,0,0,1,0,2,1,4,4,7,0,1,1975,2,1,308,4,4,2,0,30,0,0,0,0,0,6,2010,9,4,120000
36,527454200,160,4,24,2280,1,3,3,0,4,0,16,2,2,3,5,6,5,1978,1978,1,1,8,2,3,0,3,4,1,2,4,3,0,311,5,0,544,855,0,1,1,4,855,601,0,1456,0,0,2,1,3,1,4,7,7,1,1,1978,2,2,440,4,4,2,26,0,0,0,0,0,0,7,2010,9,4,146000
37,528108120,60,4,102,12858,1,0,3,0,4,0,19,2,2,0,5,9,5,2009,2010,1,1,11,13,4,162,0,4,2,0,4,3,5,0,5,0,1590,1590,0,0,1,4,1627,707,0,2334,0,0,2,1,3,1,0,10,7,1,1,2009,0,3,751,4,4,2,144,133,0,0,0,0,0,1,2010,6,5,376162
38,528112020,20,4,98,11478,1,3,3,0,4,0,19,2,2,0,2,8,5,2007,2008,1,1,11,13,4,200,2,4,2,0,4,3,2,1218,5,0,486,1704,0,0,1,4,1704,0,0,1704,1,0,2,0,3,1,2,7,7,1,1,2008,1,3,772,4,4,2,0,50,0,0,0,0,0,5,2010,9,4,306000
39,528120060,20,4,83,10159,1,0,3,0,4,0,19,2,2,0,2,9,5,2009,2010,3,1,11,13,4,450,0,4,2,0,4,0,2,1646,5,0,284,1930,0,0,1,4,1940,0,0,1940,1,0,2,1,3,1,0,8,7,1,1,2010,0,3,606,4,4,2,168,95,0,0,0,0,0,4,2010,6,5,395192
40,528120090,20,4,94,12883,1,0,3,0,0,0,19,2,2,0,2,8,5,2009,2010,1,1,11,13,4,256,2,4,2,2,4,3,5,0,5,0,1544,1544,0,0,1,4,1544,0,0,1544,0,0,2,0,3,1,2,7,7,0,1,2009,1,3,868,4,4,2,0,35,0,0,0,0,0,6,2010,6,5,290941
41,528120100,20,4,95,12182,1,3,3,0,0,0,19,2,2,0,2,7,5,2005,2005,1,1,11,13,1,226,2,4,2,2,4,2,1,1201,5,0,340,1541,0,0,1,4,1541,0,0,1541,0,0,2,0,3,1,2,7,7,1,1,2005,1,2,532,4,4,2,0,70,0,0,0,0,0,5,2010,6,5,220000
42,528120120,20,4,90,11520,1,3,3,0,4,0,19,4,2,0,2,9,5,2005,2005,3,1,11,13,1,615,2,4,2,0,4,3,2,110,5,0,1588,1698,0,0,1,4,1698,0,0,1698,0,0,2,0,3,1,0,7,7,1,1,2005,0,3,730,4,4,2,192,74,0,0,0,0,0,6,2010,9,4,275000
43,528138020,20,4,79,14122,1,0,3,0,4,0,19,2,2,0,2,8,5,2005,2006,3,1,4,5,1,240,2,4,2,0,4,3,2,28,5,0,1794,1822,0,0,1,4,1822,0,0,1822,0,0,2,0,3,1,0,8,7,1,1,2005,1,3,678,4,4,2,0,119,0,0,0,0,0,2,2010,9,4,259000
44,528138060,20,4,70,10171,1,0,3,0,4,0,19,2,2,0,2,7,5,2004,2004,1,1,11,13,1,168,2,4,2,2,4,3,2,2,5,0,1515,1517,0,0,1,4,1535,0,0,1535,0,0,2,0,3,1,2,7,7,0,1,2004,1,2,532,4,4,2,0,0,0,0,0,0,0,3,2010,9,4,214000
45,528150070,20,4,100,12919,1,0,3,0,4,0,19,2,2,0,2,9,5,2009,2010,3,1,11,13,4,760,0,4,2,0,4,1,2,2188,5,0,142,2330,0,0,1,4,2364,0,0,2364,1,0,2,1,2,1,0,11,7,2,1,2009,0,3,820,4,4,2,0,67,0,0,0,0,0,3,2010,6,5,611657
46,528175010,120,4,44,6371,1,0,3,0,4,0,19,2,2,4,2,7,5,2009,2010,1,1,11,13,4,128,2,4,2,2,4,2,2,733,5,0,625,1358,0,0,1,4,1358,0,0,1358,1,0,2,0,2,1,2,6,7,1,1,2010,1,2,484,4,4,2,192,35,0,0,0,0,0,6,2010,6,5,224000
47,528176010,20,4,110,14300,1,3,1,0,4,1,19,2,2,0,2,9,5,2003,2004,3,1,11,13,1,1095,0,4,2,0,4,1,2,1373,5,0,1473,2846,0,0,1,4,2696,0,0,2696,1,0,2,1,3,1,0,10,7,2,1,2003,0,3,958,4,4,2,220,150,0,0,0,0,0,6,2010,9,4,500000
48,528176070,60,4,105,13650,1,3,3,0,0,0,19,2,2,0,5,8,5,2002,2002,1,1,11,13,1,232,2,4,2,2,4,1,2,578,5,0,1093,1671,0,0,1,4,1687,563,0,2250,1,0,2,1,3,1,2,7,7,1,1,2002,0,3,756,4,4,2,238,130,0,0,0,0,0,6,2010,9,4,320000
49,528180070,120,4,61,7658,1,3,3,0,4,0,19,2,2,4,2,9,5,2005,2005,3,1,7,8,1,412,0,4,2,0,4,3,2,456,5,0,1296,1752,0,0,1,4,1752,0,0,1752,1,0,2,0,2,1,0,6,7,1,1,2005,1,2,576,4,4,2,196,82,0,0,0,0,0,2,2010,9,4,319900
50,528181050,120,4,41,7132,1,0,3,0,4,0,19,2,2,4,2,8,5,2006,2006,1,1,11,13,4,178,2,4,2,2,4,2,2,24,5,0,1346,1370,0,0,1,4,1370,0,0,1370,0,0,2,0,2,1,2,6,7,1,1,2006,1,2,484,4,4,2,120,49,0,0,0,0,0,4,2010,9,4,205000
51,528188120,160,4,36,2628,1,3,3,0,4,0,19,2,2,3,5,7,5,2003,2003,1,1,11,15,4,106,2,4,2,2,4,3,5,0,5,0,764,764,0,0,1,4,764,862,0,1626,0,0,2,1,2,1,2,6,7,0,3,2003,1,2,474,4,4,2,0,27,0,0,0,0,0,6,2010,9,4,175500
52,528218150,20,4,100,18494,1,0,3,0,0,0,8,2,2,0,2,6,5,2005,2005,1,1,11,13,3,0,2,4,2,2,4,3,5,0,5,0,1324,1324,0,0,1,4,1324,0,0,1324,0,0,2,0,3,1,2,6,7,0,1,2005,0,2,430,4,4,2,36,23,0,0,0,0,0,1,2010,9,4,199500
53,528228285,120,4,43,3203,1,3,3,0,4,0,0,2,2,4,2,7,5,2006,2006,1,1,11,13,1,14,2,4,2,2,4,0,2,16,5,0,1129,1145,0,0,1,4,1145,0,0,1145,0,0,2,0,2,1,2,6,7,0,1,2006,0,2,437,4,4,2,100,116,0,0,0,0,0,1,2010,9,4,160000
54,528228440,120,4,43,3182,1,3,3,0,4,0,0,2,2,4,2,8,5,2004,2005,1,1,11,13,1,16,2,4,2,2,4,3,2,24,5,0,1232,1256,0,0,1,4,1269,0,0,1269,0,0,2,0,2,1,2,6,7,1,1,2004,0,2,430,4,4,2,146,20,0,0,144,0,0,4,2010,9,4,192000
55,528231020,80,4,67,13300,1,0,3,0,4,0,8,2,2,0,7,7,5,2004,2004,1,1,11,13,3,0,2,4,2,2,4,3,2,326,5,0,58,384,0,0,1,4,744,630,0,1374,1,0,2,1,3,1,2,7,7,1,3,2004,0,2,400,4,4,2,100,0,0,0,0,0,0,6,2010,9,4,184500
57,528240130,60,4,63,8577,1,0,3,0,4,0,8,2,2,0,5,7,5,2004,2004,1,1,11,13,3,0,2,4,2,2,4,3,5,0,5,0,847,847,0,0,1,4,847,886,0,1733,0,0,2,1,3,1,2,7,7,1,3,2004,0,2,433,4,4,2,144,48,0,0,0,0,0,4,2010,9,4,185088
58,528250100,80,4,69.22459016,7750,1,0,3,0,4,0,8,2,2,0,7,7,5,2000,2000,1,1,11,13,3,0,3,4,2,2,4,3,2,250,5,0,134,384,0,0,1,4,774,656,0,1430,0,0,2,1,3,1,4,7,7,1,3,2000,0,2,400,4,4,2,180,0,0,0,0,0,0,4,2010,9,4,180000
59,528292020,60,4,69.22459016,9505,1,0,3,0,1,0,8,2,2,0,5,7,5,2001,2001,1,1,11,13,1,180,2,4,2,2,4,3,5,0,5,0,884,884,0,0,1,4,884,1151,0,2035,0,0,2,1,3,1,2,8,7,1,3,2001,0,2,434,4,4,2,144,48,0,0,0,0,0,5,2010,9,4,222500
60,528328100,60,4,108,14774,1,0,3,0,0,0,18,2,2,0,5,9,5,1999,1999,1,1,11,13,1,165,2,4,2,2,4,3,5,0,5,0,1393,1393,0,0,1,4,1422,1177,0,2599,0,0,2,1,4,1,2,10,7,1,3,1999,0,3,779,4,4,2,668,30,0,0,0,0,0,5,2010,9,4,333168
61,528344070,60,4,60,17433,1,1,3,0,1,0,18,2,2,0,5,8,5,1998,1998,3,1,11,13,1,114,2,4,2,0,4,3,5,0,5,0,1629,1629,0,0,1,4,1645,830,0,2475,0,0,2,1,4,1,2,7,7,1,1,1998,0,3,962,4,4,2,23,172,0,0,256,0,0,1,2010,9,4,355000
62,528358010,20,4,59,10593,1,0,3,0,4,0,18,2,2,0,2,7,5,1996,1996,3,1,11,13,1,338,2,4,2,2,4,3,2,919,5,0,801,1720,0,0,1,4,1720,0,0,1720,1,0,2,0,3,1,2,7,7,1,1,1996,0,2,527,4,4,2,240,56,154,0,0,0,0,3,2010,9,4,260400
63,528363130,60,4,98,12256,1,0,3,0,0,0,18,2,2,0,5,8,5,1994,1995,1,1,5,6,1,362,2,4,2,0,4,0,2,1032,5,0,431,1463,0,0,1,4,1500,1122,0,2622,1,0,2,1,3,1,2,9,7,2,1,1994,1,2,712,4,4,2,186,32,0,0,0,0,0,4,2010,9,4,325000
64,528382020,60,4,92,11764,1,0,3,0,1,0,18,2,2,0,5,8,7,1999,2007,1,1,11,13,1,348,2,4,2,2,4,3,2,524,5,0,628,1152,0,0,1,4,1164,1106,0,2270,0,0,2,1,4,1,2,9,7,1,1,1999,0,3,671,4,4,2,132,57,0,0,0,0,0,4,2010,9,4,290000
65,528382030,60,4,58,16770,1,1,3,0,1,0,18,2,2,0,5,7,5,1998,1998,1,1,11,13,1,30,2,4,2,2,4,3,5,0,5,0,1195,1195,0,2,1,4,1195,644,0,1839,0,0,2,1,4,1,4,7,7,0,1,1998,0,2,486,4,4,2,0,81,0,0,0,0,0,6,2010,9,4,221000
66,528386040,50,4,56,14720,1,0,3,0,1,0,18,2,2,0,0,8,5,1995,1996,3,1,11,13,1,579,2,4,2,2,4,0,2,816,5,0,1217,2033,0,0,1,4,2053,1185,0,3238,1,0,2,1,4,1,2,9,7,1,1,1996,0,3,666,4,4,2,283,86,0,0,0,0,0,3,2010,9,4,410000
68,528456160,20,1,92,9215,1,3,3,0,4,0,24,2,2,0,2,7,5,2009,2010,3,1,11,13,3,0,2,4,2,2,4,3,5,0,5,0,1218,1218,0,0,1,4,1218,0,0,1218,0,0,2,0,2,1,2,4,7,0,1,2009,1,2,676,4,4,2,0,136,0,0,0,0,0,4,2010,6,5,204500
69,528458070,60,1,72,8640,1,3,3,0,4,0,24,2,2,0,5,7,5,2009,2009,1,1,11,13,3,0,3,4,2,2,4,2,2,24,5,0,732,756,0,0,1,4,764,783,0,1547,0,0,2,1,3,1,2,7,7,0,1,2009,2,2,614,4,4,2,169,45,0,0,0,0,0,6,2010,2,4,215200
70,528458110,20,1,75,9000,1,3,3,0,4,0,24,2,2,0,2,8,5,2008,2008,1,1,11,13,4,36,2,4,2,2,4,0,2,1078,5,0,488,1566,0,0,1,4,1566,0,0,1566,1,0,2,0,3,1,2,7,7,0,1,2008,1,2,750,4,4,2,144,168,0,0,0,0,0,4,2010,9,4,262500
71,528477080,60,1,100,12552,1,3,3,0,0,0,24,2,2,0,5,7,5,2004,2005,1,1,11,13,3,0,2,4,2,2,4,3,2,222,5,0,769,991,0,0,1,4,991,956,0,1947,0,0,2,1,3,1,2,8,7,1,1,2004,1,2,678,4,4,2,0,136,0,0,0,0,0,5,2010,9,4,254900
72,528480090,20,1,84,10440,1,3,3,0,0,0,24,2,2,0,2,6,5,2005,2005,1,1,11,13,3,0,2,4,2,0,4,3,2,1414,5,0,54,1468,0,0,1,4,1468,0,0,1468,1,0,2,0,2,1,2,6,7,1,1,2005,0,2,528,4,4,2,0,102,0,0,216,0,0,5,2010,9,4,271500
73,531367050,60,4,76,10142,1,0,3,0,4,0,23,2,2,0,5,7,5,2004,2004,1,1,11,13,3,0,2,4,2,2,4,3,2,656,5,0,300,956,0,0,1,4,956,1128,0,2084,1,0,2,1,4,1,2,8,7,0,3,2004,1,2,618,4,4,2,0,45,0,0,0,0,0,1,2010,9,4,233000
74,531369060,60,4,70,11920,1,3,3,0,4,0,23,2,2,0,5,7,5,2004,2004,1,1,11,13,1,122,2,4,2,2,4,0,5,0,5,0,831,831,0,0,1,4,831,828,0,1659,0,0,2,1,3,1,2,8,7,0,1,2004,1,2,484,4,4,2,144,68,0,0,0,0,0,4,2010,9,4,181000
75,531380080,60,4,69.22459016,8880,1,0,3,0,4,0,23,2,2,0,5,7,5,1994,2002,1,1,11,13,3,0,2,4,2,2,4,3,2,695,5,0,253,948,0,0,1,4,1222,888,0,2110,1,0,2,1,3,1,2,8,7,2,1,1994,1,2,463,4,4,2,0,130,0,0,0,0,0,5,2010,9,4,205000
76,531451110,120,4,50,8012,1,3,3,0,4,0,23,2,2,4,2,6,5,1980,1980,1,1,8,10,3,0,3,4,1,2,4,3,1,543,1,119,261,923,0,4,1,4,923,0,0,923,0,0,2,0,2,1,4,5,7,1,1,1980,1,1,264,4,4,2,80,0,0,0,0,0,0,5,2010,9,4,143000
77,531451280,60,4,70,11218,1,3,3,0,4,0,23,2,2,0,5,6,5,1992,1992,1,1,12,14,3,0,2,4,2,2,4,3,5,0,5,0,1055,1055,0,0,1,4,1055,790,0,1845,0,0,2,1,3,1,2,8,7,1,1,1992,1,2,462,4,4,2,635,104,0,0,0,0,400,5,2010,9,4,189000
78,531452020,120,4,55,7892,1,3,3,0,4,0,23,2,2,4,2,6,5,1979,1979,1,1,8,10,3,0,3,4,1,2,4,3,5,0,5,0,918,918,0,4,1,4,918,0,0,918,0,0,2,0,2,1,4,5,7,1,1,1979,2,1,264,4,4,2,28,0,0,0,0,0,0,4,2010,9,4,99500
79,531452050,120,4,50,7175,1,3,3,0,4,0,23,2,2,4,2,6,5,1984,1984,1,1,8,10,3,0,3,4,1,2,4,3,0,623,3,121,0,744,0,4,1,4,752,0,0,752,1,0,1,0,2,1,4,4,7,0,1,1984,2,1,264,4,4,2,353,0,0,0,90,0,0,2,2010,9,4,125000
80,531452180,60,4,69.22459016,9453,1,0,3,0,1,0,23,7,2,0,5,7,7,1993,2003,1,1,5,6,3,0,2,4,2,2,4,3,1,402,5,0,594,996,0,0,1,4,1014,730,0,1744,0,0,2,1,3,1,2,7,7,0,1,1993,1,2,457,4,4,2,370,70,0,238,0,0,0,2,2010,9,4,194500
81,531453010,20,4,81,9672,1,3,3,0,0,0,23,2,2,0,2,6,5,1984,1985,3,1,5,10,3,0,3,4,2,2,4,3,2,338,5,0,702,1040,0,4,1,4,1097,0,0,1097,0,0,2,0,3,1,4,6,7,0,1,1986,2,2,480,4,4,2,0,0,0,0,0,0,0,5,2010,9,4,152000
